Player,Property,Income Generated
Shawn,Boardwalk,$425
Amanda,Park Place,$375
Neil,Marvin Gardens,$200
,Kentucky Ave,
Shawn,Pennsylvania Ave,$150
Annie,Oriental Ave,$50
Amanda,Baltic Ave,$60
Shawn,Mediterranean Ave,$200
Annie,Community Chest 1,$600
,Reading Railroad,
Amanda,Chance 1,$750
Amanda,Vermont Ave,$200
Amanda,Connecticut Ave,$500
,Jail,
Shawn,St. Charles Place,$150
Neil,Electric Company,$200
Shawn,States Ave,$300
Shawn,Virginia Ave,$500
Neil,St. James Place,$700
Annie,Tennessee Ave,$475
Annie,New York Ave,$200
,Free Parking,
,Pacific Ave,
Annie,North Carolina Ave,$350
Neil,Short Line,$350
Annie,Illinois Ave,$350
Amanda,B&O Railroad,$200
Amanda,Atlantic Ave,$500
